Timestamp,(Do not change this value) Plugin ID ,"How much did the plugin change how you work on Toloka? (number of tasks you do,  types of tasks you do, or change the type of ""other activities"" you do while completing Toloka tasks (e.g., read your email etc))",Please explain your above response.,"How much did the plugin create new work schedules for you? (e.g., times of day when you complete Toloka Tasks)",Please explain your above response.,How much did the plugin change how much you enjoy working on Toloka,Please explain your above response.,"Overall, how much did the tool create new experiences for you",Please explain your above response. ,How useful do you find the alerts of the plugin?,Please explain your above response. ,When you first joined Toloka how much do you believe you had to change your work style?,Rate how likely you are to... [Use a tool of this kind],Rate how likely you are to... [Use in-page alerts],Rate how likely you are to... [Use in-browser alerts],Rate how likely you are to... [Receive messages from requesters],Rate how likely you are to... [Receive messages from workers],What  was your favorite thing about the plugin? Explain why. ,What  was the thing about the plugin you liked the least? Explain why.,If you had a magic wand and could  add or remove anything from the plugin what would it be?,Would you like to participate in further user studies with us?,How confident are you that you will be able to complete all the tasks that you decide to do in Toloka?,"When complicated Toloka tasks are presented to you, how confident are you that you can complete the tasks?","To see if you're still paying attention, please select the choice that says strongly disagree.",I am satisfied with the Toloka tasks I do:,I can see myself working on Toloka in two years,I always want to give my best whenever I am working on Toloka tasks,I felt the plugin helped me to better use my potential and strengths,"Do you have any closing thoughts? This can include comments about your experience using the plugin, comments about Toloka, any questions you have for the research team, or anything else. "
2/20/2022 16:25:42,d3b3aaccd59dbdb3385a06dba56113,4,Tool much good for remeber tasks.,5,Many times of the day.,5,Changed all for better.,5,Create new mode to do tasks more efficient.,5,Much useful for daily work.,4,Very likely,Very likely,Very likely,Likely,Likely,,,,Yes,5,4,Strongly disagree,Strongly agree,5,5,5,
2/20/2022 16:50:36,25daec93559c8d639738bb2c2d8f3194,2,It took a long time for the extension to activate,2,It didn't change anything because the extension took a long time to be activated and even when it was activated it doesn't show all the relevant tasks for me,1,nothing change,1,nothing change,4,alerts are very useful to know when you acquired a new skill and see new messages,3,Neutral,Likely,Likely,Very unlikely,Neutral,,,,Yes,3,4,Strongly disagree,Neutral,4,4,2,
2/20/2022 19:17:09,3741da8e9dd5e15f64a570dbb218a7,5,easy to findd available tasks,5,one could easily find the available jobs,5,faster access,5,faster access,5,find jobs,5,Very likely,Very likely,Very likely,Very likely,Very likely,the jobs access,none,none,Yes,5,5,Strongly disagree,Agree,5,5,5,no
2/20/2022 19:36:05,95d3785df122a99679fdd8cb4d6e4a0,4,"Thanks to the plugin I could notice tasks that I didn't know were available, which was very helpful",3,I could do more tasks during the week but it didn't really change my schedule,3,It was a productive tool,4,It was a tool that helped me to improve my productivity,5,Very useful because they let you know every time there are tasks you might like to do,3,Very likely,Likely,Very likely,Likely,Likely,My favorite thing is that I was able to find more taks and even receive notificationes of my favorite ones,Maybe the amount of notifications that were sent at the same time ,Improve the organization of the notifications,Yes,5,4,Strongly disagree,Strongly agree,5,5,4,
2/20/2022 19:47:53,414169349440a08f907a241578f76689,4,"During the period there were not many tasks in Toloka, so I could not take better advantage of the plugin",4,I logged in more times a day,4,"By having notifications, I was able to get more out of tasks",4,"If during the period of time that the plugin lasted they would have placed more tasks, it would have been wonderful.",5,It's great to have a notification when there are new tasks,4,Very likely,Very likely,Very likely,Very likely,Likely,Having a notification when there are new tasks,I like all,Nothing,Yes,4,4,Strongly disagree,Strongly agree,5,5,4,"I consider that the instructions given for carrying out the tasks should be examined. Many times they are insufficient or unclear, which leads to mistakes."
2/20/2022 21:12:26,4adad1b7b5717858cc36aed27ec3acf7,3,I didn't take new tasks because of the plugin,2,plugin didn't affect my schedule,4,It was easier to check on tasks using the plug in,4,Overall it was a positive experience,1,I didn't get any alerts from the plug in,4,Very likely,Likely,Very likely,Very likely,Neutral,The interface ,,no alarms,Yes,5,5,Strongly disagree,Strongly agree,4,5,4,I really liked the interface
2/20/2022 21:27:32,722bb352b3fb06fba6b2c381d46d1c,4,"The plugin gave and alerted me whenever there was new tasks and notify me about them and that really helped in knowing what task i will do next and what tasks are available, generally i do all the types of tasks and so the plugin make my work easier.",4,"Normally when you're completing a task unless you're done with that task before you can go back and see what other tasks are available but with the plugin it notifies you on new tasks and that makes it easier to know your schedules and whether you got time for other tasks or not, it also shows you everything in terms of how much time you would need to complete each task.",4,The plugin even made it better and easier for me.,4,"The interfaces was very unique and stylish, which made working in toloka very simple and efficient.",4,Very useful except that it was notifying me about some task that i already and some of the tasks that i get notification don't really work.,4,Very likely,Very likely,Very likely,Very likely,Very likely,I love how the plugin was browser inbuilt and how it don't really interferes and affect your work in other aspects.,"The notifications, it pops up too many time when new tasks are available",It was would just two notifications that would pop up instead 3 or 4 when a new task is available.,Yes,5,4,Strongly disagree,Agree,5,5,5,I think that so far so good the plugin was better and it made working in toloka simple.
2/20/2022 21:49:21,c8136de0d23979b64c985c7c1abb6c,1,I think plugin does have some kind of bugs.It notifies from user tasks which not available to me,1,no It does not create yet,3,if it works well it can be enjoy,3,great if notifies task from users are available,5,great it will be useful,3,Likely,Likely,Likely,Likely,Likely,notifies available tasks from users i was to say,at now state it is not notified me just notifies me for one day,adding message from users and that tasks are available will be good,Yes,4,4,Disagree,Slightly Agree,5,4,2,i want to say about toloka.I think task shortages is really annoying and tasks are not equally available i think please fix this
2/20/2022 21:51:15,889a287c6220a3d0698868dc7ac7243f,4,the plugin facilitate working on the  tasks  ,2,daos not make a big difference,2,same as before,4,yes it s a good tool that help to do more tsks ,3,its good ,4,Likely,Neutral,Likely,Likely,Neutral,,,,Yes,3,2,Strongly disagree,Neutral,4,5,4,we can not hold tsks to do it later please add this option and give us the possibility to see future tasks especially favorite tasks and thank you . 
2/20/2022 22:18:25,3e276dee7587aa0b0db8d1aca5998c5,4,I recieved more tasks with more types,4,I arranged tasks easily,5,I am very happy when I recieved tasks from the plugin change,5,"I give me more tasks with high payment, give me more daily bonus.",5,I can get the tasks easily and give me more experiences.,5,Likely,Neutral,Likely,Likely,Very likely,It give me more easy tasks.,I did not recieve the daily bonus.,I will add more easy tasks with high payment.,Yes,5,5,Strongly disagree,Strongly agree,5,5,5,
2/20/2022 23:57:30,12a018d67276e148c066f78ec99232ac,4,"Jobs are clearly listed. The App helps me to know all the information about the task like completion time, success rate, new task...but I still want to see my favorite job because I can complete it more easily.",4,I can't do it all because there are hard jobs,5,The work is clearly shown,4,fine,4,fine,5,Very likely,Very likely,Very likely,Very likely,Very likely,almost everything I need is there so more favorite quests,no favorite tasks,"add favorite task and add bell, add signal when there is an alert",Yes,4,3,Strongly disagree,Agree,5,5,4,
2/21/2022 0:25:03,71ba89843f2946e88698e3b5467d9,1,It did not introduce any  new tasks,1,there weren't a lot of new tasks introduced by the plugin,1,It didn't make a difference,1,I didn't experience new things,2,not many jobs were coming in,3,Neutral,Likely,Likely,Very likely,Neutral,,,,Yes,4,3,Strongly disagree,Disagree,3,5,3,
2/21/2022 3:34:21,6f1753e09611df5751d6abe4b1ca2724,4,more jobs than normal could be seen,3,it did not,4,loved features,5,everything changed ,5,very useful,3,Very likely,Very likely,Very likely,Very likely,Very likely,made work easier,interface,nothing,Yes,5,4,Strongly disagree,Neutral,5,5,5,toloka should have some daily consistent jobs
2/21/2022 9:28:19,69c0d3e67052b28759e150bca54f5f0,4,I like how the plugin notify me with new tasks and redirect me there with a link.,3,It makes things more efficient,4,The plugin makes it easier to know about new tasks,4,The plugin makes things much easier,4,I no longer need to check the website and refresh for new task alerts,3,Likely,Likely,Likely,Likely,Likely,,,,Yes,4,4,Strongly disagree,Agree,3,3,3,
2/21/2022 9:50:26,f3cc482e6ec9e826e94d25d3aaa4bd9,4,It allowed me to get notified of new tasks by my fav requesters and also reduces monotony.,4,I was able to reschedule myself and ensure i did a task everyday,4,It made my tasking interesting by letting me know the pay for each task,5,Notifications make it more formal.,4,no need to log in to workplace to know the available tasks,5,Likely,Very likely,Very likely,Very likely,Very likely,,,,Yes,5,5,Strongly disagree,Agree,5,5,5,Excellent feature.
2/21/2022 13:47:44,6b4cd1c49a60f0cd87c83910d58249,4,I checked it more often.,4,I checked it more often.,4,I felt more engaged.,3,I felt more engaged.,4,It let me know when payments were made.,3,Likely,Likely,Likely,Likely,Likely,Notifications when tasks were approved.,Nothing was a problem.,Nothing was a problem.,Yes,4,4,Strongly disagree,Slightly Agree,5,5,3,
2/21/2022 19:19:52,ae18ab1aea6162de2276501ad651b6,3,i work a lot with Toloka so barely i had to use the plugin,3,i´m always searching works in toloka,3,its a nice way to stay even more alert for works in Toloka,3,it was a nice tool,4,it is nice in case that i forget to search works in toloka,4,Unlikely,Likely,Likely,Very likely,Very likely,how friendly the interface is,the inactive period of the tool,nothing it´s a relly well made plugin,Yes,4,4,Strongly disagree,Agree,5,4,3,keep doing a great job. Also more tasks/works it will be nice
2/22/2022 5:32:47,5fc991717e944f5142979e8878555271,5,i used to multi task several tasks,5,i was able to plan my time of work on time,5,it was a good time doing the tasks,5,i got to experience new things ,5,very impactly to my task performance in a positive way,3,Very likely,Very likely,Very likely,Very likely,Very likely,the alerts of new tasks,i liked everything cant complain,nothing,Yes,5,5,Strongly disagree,Strongly agree,5,5,5,it was good doing the survey.Thanks 
2/24/2022 12:57:42,356cd2c5f07830925f6a46ee42e9c748,5,"Posso ver nas notificações, as tarefas que sempre faço e se estão disponíveis.",5,"Agora, eu vejo a notificação e começo a trabalhar logo",5,"A toloka está cada vez mais com trabalhos, então na hora que recebo uma notificação de trabalho novo, já corro pra fazer",5,Novos trabalhos diários ,5,É muito bom saber sempre que tem uma tarefa disponível,5,Likely,Likely,Likely,Likely,Likely,As notificações diarias,Nada,Adicionaria mais notificação de trabalhos novos,Yes,5,5,Strongly disagree,Strongly agree,5,5,5,Adoraria que viessem mais tarefas bem pagas como a da amazon
2/24/2022 13:17:03,356cd2c5f07830925f6a46ee42e9c748,5,Tarefas da Toloka estão maravilhosas,5,"Chega notificação,já corro pra trabalhar",5,Porque sempre me notícia sobre novos empregos ,5,Muitas,5,Adoro demais receber notificação,5,Likely,Likely,Likely,Likely,Likely,Receber sempre a notificação de trabalhos novos,Nada,Adicionar avisos dos trabalhos novos na hora ,Yes,5,5,Strongly disagree,Strongly agree,5,5,5,Adiciona mais trabalhos como os da Amazon que pagam super bem no inglês e espanhol e português
2/24/2022 16:56:10,fbd2ee5b8dcfa3d939cb5df1a92552,5,"I liked it, it improved the productivity",5,"Through the notification settings, it saved alot of time",2,Low pay is still the biggest concern,3,Not much,5,Very useful,3,Very likely,Very likely,Very likely,Very likely,Very likely,Notifying when there are new tasks,Nothing,Emphasize on effective notification,Yes,5,5,Strongly agree,Strongly agree,5,5,5,"Maybe a comment on the payment on the site, its quite low and not competitive"
